features,label
0.0 0.0 -0.05490875244140625 0.01357114315032959 -0.10427665710449219 -0.0008049309253692627 -0.13442009687423706 -0.03610458970069885 -0.16100531816482544 -0.06486248970031738 -0.12390297651290894 -0.07917410135269165 -0.15908277034759521 -0.1183653473854065 -0.17958331108093262 -0.14356249570846558 -0.19853264093399048 -0.16815140843391418 -0.11028480529785156 -0.10651114583015442 -0.14847582578659058 -0.1528995931148529 -0.17209184169769287 -0.18243828415870667 -0.19515615701675415 -0.21009141206741333 -0.0903739333152771 -0.12263575196266174 -0.12525242567062378 -0.1709548830986023 -0.14603400230407715 -0.2002037763595581 -0.16678744554519653 -0.22554540634155273 -0.06304597854614258 -0.13172486424446106 -0.09065479040145874 -0.1700320839881897 -0.1090882420539856 -0.19395172595977783 -0.12790733575820923 -0.21449926495552063,HELLO
0.0 0.0 -0.05169224739074707 0.036725372076034546 -0.10868537425994873 0.04169726371765137 -0.1508432924747467 0.016064941883087158 -0.18262571096420288 -0.013620972633361816 -0.1478266417980194 -0.03310301899909973 -0.1948818564414978 -0.05845871567726135 -0.22150802612304688 -0.07743915915489197 -0.2449015974998474 -0.09794455766677856 -0.1401984989643097 -0.06744077801704407 -0.19207438826560974 -0.09809920191764832 -0.22354719042778015 -0.11904934048652649 -0.25173771381378174 -0.13920119404792786 -0.12353074550628662 -0.09366771578788757 -0.17269283533096313 -0.12767592072486877 -0.20268332958221436 -0.1492568850517273 -0.22933655977249146 -0.16829749941825867 -0.09824776649475098 -0.11685040593147278 -0.13705593347549438 -0.14304089546203613 -0.16237562894821167 -0.15947744250297546 -0.18633559346199036 -0.17448818683624268,HELLO
0.0 0.0 -0.05614972114562988 -0.0015774965286254883 -0.09899187088012695 -0.027986526489257812 -0.1217389702796936 -0.0719042718410492 -0.14180833101272583 -0.10947567224502563 -0.1051674485206604 -0.10717302560806274 -0.13304197788238525 -0.15520435571670532 -0.14668625593185425 -0.18576189875602722 -0.15879029035568237 -0.21730992197990417 -0.08619195222854614 -0.13064146041870117 -0.11508649587631226 -0.18818670511245728 -0.1314498782157898 -0.22423484921455383 -0.14781808853149414 -0.2597900331020355 -0.06368988752365112 -0.14072629809379578 -0.08922356367111206 -0.19972622394561768 -0.10503047704696655 -0.23510056734085083 -0.12017697095870972 -0.2672755718231201 -0.03478282690048218 -0.14161255955696106 -0.05453461408615112 -0.1865098476409912 -0.06882131099700928 -0.21613723039627075 -0.0838087797164917 -0.24312371015548706,HELLO
0.0 0.0 -0.051775991916656494 0.02460622787475586 -0.10493731498718262 0.018056809902191162 -0.13971978425979614 -0.017358720302581787 -0.16868579387664795 -0.045788347721099854 -0.13109111785888672 -0.0573141872882843 -0.16943347454071045 -0.09384909272193909 -0.1909710168838501 -0.11879158020019531 -0.21055465936660767 -0.1437477469444275 -0.11846297979354858 -0.08920732140541077 -0.1613026261329651 -0.1315152645111084 -0.18732452392578125 -0.1595381498336792 -0.2124851942062378 -0.18641209602355957 -0.0980757474899292 -0.10969632863998413 -0.1379636526107788 -0.15331164002418518 -0.1616176962852478 -0.18042218685150146 -0.18498939275741577 -0.20463937520980835 -0.07006925344467163 -0.12399134039878845 -0.1013418436050415 -0.15676283836364746 -0.12130331993103027 -0.177385151386261 -0.141044020652771 -0.19656044244766235,HELLO
0.0 0.0 -0.04974722862243652 0.0359155535697937 -0.10696148872375488 0.03723478317260742 -0.148250013589859 0.009896695613861084 -0.1820264458656311 -0.013422518968582153 -0.14168429374694824 -0.025258779525756836 -0.18993189930915833 -0.04781106114387512 -0.21713387966156006 -0.06492680311203003 -0.24186944961547852 -0.08323830366134644 -0.1345522403717041 -0.058721691370010376 -0.18867117166519165 -0.08531785011291504 -0.22157740592956543 -0.10410404205322266 -0.2516310214996338 -0.12214291095733643 -0.11798280477523804 -0.08578798174858093 -0.17054590582847595 -0.11547136306762695 -0.20218521356582642 -0.13480499386787415 -0.2317901849746704 -0.1514301598072052 -0.09274768829345703 -0.11158093810081482 -0.13346263766288757 -0.13558867573738098 -0.16062039136886597 -0.1501198410987854 -0.1868828535079956 -0.1623936891555786,HELLO
0.0 0.0 -0.054966092109680176 0.041548341512680054 -0.11841452121734619 0.04432237148284912 -0.16441744565963745 0.01718762516975403 -0.19935548305511475 -0.008853405714035034 -0.1583261787891388 -0.027464300394058228 -0.21137213706970215 -0.0556277334690094 -0.24242651462554932 -0.07512769103050232 -0.27035799622535706 -0.09475758671760559 -0.15181991457939148 -0.0647934079170227 -0.21129268407821655 -0.09634819626808167 -0.24857616424560547 -0.11856216192245483 -0.28192415833473206 -0.13890215754508972 -0.13440489768981934 -0.09357628226280212 -0.1909206509590149 -0.12829938530921936 -0.2257659137248993 -0.15134723484516144 -0.257373183965683 -0.1709355115890503 -0.10724568367004395 -0.11891472339630127 -0.15052500367164612 -0.14656850695610046 -0.18021798133850098 -0.164113849401474 -0.2086939811706543 -0.1800597906112671,HELLO
0.0 0.0 -0.06108731031417847 -0.01795816421508789 -0.10306704044342041 -0.05882585048675537 -0.12260198593139648 -0.11433744430541992 -0.1409725546836853 -0.15747857093811035 -0.09862196445465088 -0.14421206712722778 -0.122295081615448 -0.201526939868927 -0.13511204719543457 -0.23477506637573242 -0.14736753702163696 -0.2697725296020508 -0.07239258289337158 -0.16725796461105347 -0.09937465190887451 -0.23378348350524902 -0.11431175470352173 -0.27207279205322266 -0.1321415901184082 -0.31393754482269287 -0.046267926692962646 -0.17339801788330078 -0.06860023736953735 -0.24013060331344604 -0.0837971568107605 -0.2792713940143585 -0.09729552268981934 -0.3157103657722473 -0.013057112693786621 -0.1686881184577942 -0.03345048427581787 -0.21956956386566162 -0.046167194843292236 -0.2533709406852722 -0.058930039405822754 -0.2872215509414673,HELLO
0.0 0.0 -0.054476261138916016 0.023008882999420166 -0.10655432939529419 0.01295548677444458 -0.1409686803817749 -0.02502349019050598 -0.16866138577461243 -0.05316895246505737 -0.12995091080665588 -0.06397607922554016 -0.1702881157398224 -0.09959116578102112 -0.19364041090011597 -0.12194302678108215 -0.21541714668273926 -0.14381811022758484 -0.11909645795822144 -0.09553006291389465 -0.1634654998779297 -0.1354440152645111 -0.19152861833572388 -0.15982279181480408 -0.21785563230514526 -0.18259099125862122 -0.10092353820800781 -0.1160891056060791 -0.14242243766784668 -0.15856552124023438 -0.1675012707710266 -0.18378666043281555 -0.1908947229385376 -0.20573300123214722 -0.07369565963745117 -0.1323338747024536 -0.10690701007843018 -0.16675031185150146 -0.12898391485214233 -0.18710565567016602 -0.15067219734191895 -0.20510971546173096,HELLO
0.0 0.0 -0.05447995662689209 0.021499335765838623 -0.10699737071990967 0.010489284992218018 -0.1404566764831543 -0.025717496871948242 -0.1669270098209381 -0.0539555549621582 -0.12906599044799805 -0.06352785229682922 -0.1694996953010559 -0.10018470883369446 -0.19330298900604248 -0.1227346658706665 -0.21500420570373535 -0.1442091166973114 -0.11774033308029175 -0.09503129124641418 -0.16191333532333374 -0.13635218143463135 -0.19013053178787231 -0.16183727979660034 -0.21596312522888184 -0.18511787056922913 -0.09925460815429688 -0.11630696058273315 -0.14093920588493347 -0.15972763299942017 -0.1659907102584839 -0.1856347918510437 -0.18943938612937927 -0.2078557312488556 -0.0724414587020874 -0.132185697555542 -0.1053464412689209 -0.16632211208343506 -0.12734824419021606 -0.1867506504058838 -0.14873844385147095 -0.2046527862548828,HELLO
0.0 0.0 -0.06042510271072388 0.014268934726715088 -0.11235696077346802 -0.006471455097198486 -0.14353424310684204 -0.04864165186882019 -0.16957762837409973 -0.0796976387500763 -0.12503314018249512 -0.08103030920028687 -0.15958905220031738 -0.12245702743530273 -0.1813850998878479 -0.14641091227531433 -0.2021740972995758 -0.16896742582321167 -0.11122512817382812 -0.11001726984977722 -0.1481366753578186 -0.15680164098739624 -0.1732368767261505 -0.1852715015411377 -0.1969037652015686 -0.21120427548885345 -0.09169113636016846 -0.12715357542037964 -0.12691229581832886 -0.17636653780937195 -0.14983201026916504 -0.20611333847045898 -0.17203888297080994 -0.23247553408145905 -0.06376153230667114 -0.13775789737701416 -0.09318631887435913 -0.1759990155696869 -0.11269122362136841 -0.20004311203956604 -0.13211458921432495 -0.2224578857421875,HELLO
